STATE,NAME,ESTIMATESBASE2020
56,Wyoming,576837
50,Vermont,643085
11,District of Columbia,689546
2,Alaska,733378
38,North Dakota,779091
46,South Dakota,886677
10,Delaware,989957
30,Montana,1084197
44,Rhode Island,1097371
23,Maine,1362341
33,New Hampshire,1377518
15,Hawaii,1455273
54,West Virginia,1793755
16,Idaho,1839092
31,Nebraska,1961489
35,New Mexico,2117527
20,Kansas,2937847
28,Mississippi,2961288
5,Arkansas,3011555
32,Nevada,3104624
19,Iowa,3190372
49,Utah,3271614
9,Connecticut,3605942
40,Oklahoma,3959346
41,Oregon,4237291
21,Kentucky,4505893
22,Louisiana,4657749
1,Alabama,5024356
45,South Carolina,5118429
27,Minnesota,5706504
8,Colorado,5773733
55,Wisconsin,5893725
29,Missouri,6154920
24,Maryland,6177213
18,Indiana,6785668
47,Tennessee,6910786
25,Massachusetts,7029949
4,Arizona,7151507
53,Washington,7705247
51,Virginia,8631384
34,New Jersey,9289031
26,Michigan,10077325
37,North Carolina,10439414
13,Georgia,10711937
39,Ohio,11799374
17,Illinois,12812545
42,Pennsylvania,13002689
36,New York,20201230
12,Florida,21538226
48,Texas,29145428
6,California,39538245
